tag-local-identifier,timestamp,location-lat,location-long
T8,2005-2-21 17:04:00,-24.49773966,31.79232992
T8,2005-2-21 18:04:00,-24.49756063,31.79207967
T8,2005-2-21 19:04:00,-24.49582926,31.78930054
T8,2005-2-21 20:04:00,-24.4946106,31.7886495
T8,2005-2-21 21:04:00,-24.49262085,31.78786011
T8,2005-2-21 22:04:00,-24.48988037,31.7884908
T8,2005-2-21 23:04:00,-24.48951009,31.78850911
T8,2005-2-22 0:04:00,-24.48314006,31.78683065
T8,2005-2-22 1:04:00,-24.4802002,31.78121948
T8,2005-2-22 2:04:00,-24.48323975,31.7817098
T8,2005-2-22 3:04:00,-24.48307088,31.78186035
T8,2005-2-22 4:04:00,-24.48312988,31.78176066
T8,2005-2-22 5:04:00,-24.48175049,31.7831604
T8,2005-2-22 6:04:00,-24.48484904,31.7868103
T8,2005-2-22 7:04:00,-24.48519084,31.79195964
T8,2005-2-22 8:04:00,-24.4864502,31.79605916
T8,2005-2-22 9:04:00,-24.48648071,31.79616089
T8,2005-2-22 10:04:00,-24.48649089,31.79620972
T8,2005-2-22 11:04:00,-24.4865092,31.79623006
T8,2005-2-22 12:04:00,-24.48649089,31.79621989
T8,2005-2-22 13:04:00,-24.48647054,31.79619954
T8,2005-2-22 14:04:00,-24.48590902,31.79638062
T8,2005-2-22 15:04:00,-24.48563029,31.79515991
T8,2005-2-22 16:04:00,-24.48756917,31.7928304
T8,2005-2-22 17:04:00,-24.48838094,31.790861
T8,2005-2-22 18:04:00,-24.48869019,31.79025065
T8,2005-2-22 19:04:00,-24.48875936,31.79017944
T8,2005-2-22 20:04:00,-24.4887797,31.79015096
T8,2005-2-22 21:04:00,-24.48907064,31.78977051
T8,2005-2-22 22:04:00,-24.48866984,31.79023031
T8,2005-2-22 23:04:00,-24.48580933,31.78952026
T8,2005-2-23 0:04:00,-24.47731934,31.78805949
T8,2005-2-23 1:04:00,-24.47175903,31.78204956
T8,2005-2-23 2:04:00,-24.46212972,31.77828979
T8,2005-2-23 3:04:00,-24.45710042,31.77802938
T8,2005-2-23 4:04:00,-24.452889,31.77752075
T8,2005-2-23 5:05:00,-24.44326986,31.76772054
T8,2005-2-23 6:04:00,-24.44065959,31.77050985
T8,2005-2-23 7:04:00,-24.44279989,31.77977091
T8,2005-2-23 8:04:00,-24.44274089,31.78009033
T8,2005-2-23 9:04:00,-24.44251912,31.78015951
T8,2005-2-23 9:08:00,-24.44250081,31.78011068
T8,2005-2-23 10:04:00,-24.44244995,31.78011068
T8,2005-2-23 11:05:00,-24.44253947,31.78012899
T8,2005-2-23 12:04:00,-24.44244995,31.7802592
T8,2005-2-23 13:05:00,-24.44242961,31.78024089
T8,2005-2-23 14:05:00,-24.44254964,31.7799703
T8,2005-2-23 15:04:00,-24.43873901,31.77987061
T8,2005-2-23 16:04:00,-24.44267985,31.78097941
T8,2005-2-23 17:04:00,-24.4459493,31.78168945
T8,2005-2-23 18:04:00,-24.44926961,31.77989095
T8,2005-2-23 19:04:00,-24.4555603,31.77981974
T8,2005-2-23 20:04:00,-24.45540975,31.77978923
T8,2005-2-23 21:04:00,-24.45664062,31.77894084
T8,2005-2-23 22:04:00,-24.45612996,31.77427979
T8,2005-2-23 23:04:00,-24.45598958,31.77460938
T8,2005-2-24 0:04:00,-24.45590007,31.77472941
T8,2005-2-24 1:04:00,-24.45587972,31.77470093
T8,2005-2-24 2:04:00,-24.45588989,31.77475993
T8,2005-2-24 3:04:00,-24.45590007,31.77467041
T8,2005-2-24 4:04:00,-24.45552979,31.77165934
